# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
14726,130519,15,46,1,0,9,1,6,0,0,7,0,3,0,1,1
14727,7744,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1
14790,300206,11,0,42,3,0,0,6,0,0,2,0,0,0,2,1
17554,466421,0,0,0,0,0,0,65,0,0,0,0,0,0,8,1
25407,305598,2,0,0,0,0,0,20,0,0,0,0,0,0,14,1
25408,386014,0,1,0,0,0,0,43,0,0,0,0,0,0,6,1
26880,444738,132,17,131,13,0,0,12,1,0,0,1,0,0,1,1
26062,271780,14,2,44,2,1,0,2,0,0,0,0,0,0,1,1
15041,1174948,5,153,3,0,43,0,15,0,0,7,0,5,0,1,1
21593,1179482,65,2,9,0,2,3,0,0,0,0,0,0,1,1,1
15092,187871,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1
15093,138554,26,6,0,0,0,0,13,0,0,0,0,0,0,1,1
15094,135478,2,0,11,14,0,0,1,0,0,0,0,0,0,1,1
29977,180654,10,3,0,0,0,0,8,0,0,0,0,0,0,1,1
15182,331474,61,7,1,22,4,1,0,0,7,1,0,0,0,7,1
22449,375513,0,0,0,0,0,0,15,1,0,0,0,0,0,1,1
15203,1641940,244,2,47,0,27,16,0,9,0,4,0,0,0,1,1
16449,400221,18,0,0,0,44,0,0,0,0,7,0,0,0,2,1
15559,406512,9,0,0,0,0,0,0,0,0,0,0,0,12,1,1
20436,1068569,39,0,119,0,0,24,0,0,9,0,0,16,0,6,1
15706,460027,17,2,16,1,1,0,6,0,0,0,8,0,0,2,1
15749,183015,94,0,19,0,4,0,0,0,0,0,0,0,0,12,1
26154,333415,3,48,0,5,0,4,0,3,0,0,0,1,0,1,1
15895,170771,15,0,0,0,72,1,0,0,0,2,0,0,0,2,1
15917,138619,8,3,0,0,0,0,67,0,0,0,0,0,0,17,1
15918,140924,21,0,0,0,33,1,0,0,0,8,0,0,0,1,1
16133,113263,8,2,0,0,0,0,17,1,0,0,0,0,0,1,1
16404,190817,0,0,55,0,0,0,2,0,0,0,0,0,0,3,1
16608,195255,0,0,0,0,0,0,60,0,0,0,0,0,0,1,1
16871,190882,1,0,3,3,0,0,0,0,0,0,0,0,0,1,1
17147,119414,1,0,30,0,0,2,0,0,2,0,0,0,0,1,1
17248,480775,8,0,12,0,1,0,0,0,0,0,0,0,0,11,1
17255,254061,0,0,0,0,18,0,0,0,0,4,0,0,0,2,1
17245,395598,10,1,6,1,0,0,0,0,0,0,0,0,0,1,1
17234,461733,12,1,0,0,0,0,25,0,0,0,0,0,0,1,1
17258,738464,14,49,2,0,8,0,10,0,0,1,0,3,0,2,1
17346,243802,4,0,23,4,0,0,5,0,0,0,1,0,0,1,1
17367,79168,6,24,1,0,2,0,7,0,0,2,0,1,0,1,1
17599,108235,9,3,0,0,0,0,17,0,0,0,0,0,0,1,1
17651,93018,11,1,0,0,0,0,25,0,1,0,0,0,0,2,1
17652,107181,10,0,0,0,25,0,0,0,0,2,0,0,0,1,1
17653,101103,15,2,0,0,0,0,27,0,0,0,0,0,0,3,1
25865,212392,15,0,4,0,0,0,0,0,0,0,0,0,0,4,1
