# Id_interactions,B0,B1,B2,B3,label
13810,233184,0,0,0,1
13853,258168,0,0,0,1
14018,494126,2,0,0,1
14019,163784,0,0,0,1
14231,166560,0,0,0,1
14484,194320,0,0,0,1
14539,263720,0,0,0,1
14540,238736,0,0,0,1
14541,272048,0,0,0,1
14542,188766,2,0,0,1
14543,505232,0,0,0,1
14559,291480,0,0,0,1
14587,274824,0,0,0,1
14589,252616,0,0,0,1
14590,496904,0,0,0,1
14593,185992,0,0,0,1
14594,219304,0,0,0,1
14636,452486,2,0,0,1
14637,316464,0,0,0,1
14638,247064,0,0,0,1
14639,219304,0,0,0,1
14703,496902,2,0,0,1
15463,340423,2,0,0,1
16882,331345,2,0,0,1
12136,79740,0,0,0,1
12157,77968,0,0,0,1
12158,76196,0,0,0,1
12159,77968,0,0,0,1
12212,79740,0,0,0,1
12213,79740,0,0,0,1
12214,79740,0,0,0,1
12215,79740,0,0,0,1
12216,79740,0,0,0,1
12217,77968,0,0,0,1
12218,83284,0,0,0,1
12219,77968,0,0,0,1
12220,81512,0,0,0,1
12221,77968,0,0,0,1
12222,81512,0,0,0,1
12125,889322,21,1,0,1
15939,213493,2,0,0,1
12601,268686,2,0,0,1
28641,433373,8,0,0,1
26333,471381,12,0,0,1
28642,664268,56,2,0,1
26434,436318,8,0,0,1
26487,434515,8,0,0,1
23221,223183,1,0,0,1
12663,141230,0,0,0,1
12704,141230,0,0,0,1
12705,194798,2,0,0,1
12875,141230,0,0,0,1
12898,194798,2,0,0,1
12919,199668,2,0,0,1
12991,141230,0,0,0,1
12992,192363,2,0,0,1
13053,141230,0,0,0,1
13054,141230,0,0,0,1
12949,268807,5,0,0,1
12950,180520,2,0,0,1
13119,1022364,4,0,0,1
14588,1058029,3,0,0,1
15204,980753,7,0,0,1
15436,1058029,3,0,0,1
22479,1075860,4,0,0,1
